modalidade,municipio,uf,publicado,dias,dias_uteis,contado_de,verbatim,fonte,arquivos,pncp
Dispensa,Belo Horizonte,MG,2026-08-26,,,,,Aviso de Contratação Direta 94p,200 on attempt 1,10393006000120-1-000007/2026
Dispensa,Maurilândia,GO,2026-08-26,,,,,Aviso de Contratação Direta 1p,200 on attempt 1,18319753000120-1-000037/2026
Dispensa,Jeremoabo,BA,2026-08-26,,,,,Aviso de Contratação Direta text,200 on attempt 1,13809041000175-1-000104/2026
Dispensa,Bom Princípio do Piauí,PI,2026-08-25,30,False,ATESTO,"o ser entregues no Município de Bom Princípio do Piauí – PI, em local indicado na Ordem de Fornecimento, no prazo máximo de 10 dias úteis contado do recebimento da solicitação. 5. DO PAGAMENTO 5.1. O pagamento será realizado pelo Município em até 30 (trinta) dias, contados do recebimento definitivo ",Edital 20p,200 on attempt 1,41522194000172-1-000029/2026
Dispensa,Japaraíba,MG,2026-08-24,,,,,Aviso de Contratação Direta text,200 on attempt 1,18306654000103-1-000126/2026
Dispensa,Auriflama,SP,2026-08-21,,,,,Outros Documentos 15p,200 on attempt 1,45660594000103-1-000077/2026
Dispensa,Várzea,RN,2026-08-19,,,,,Ato que autoriza a Contratação Direta 3p,200 on attempt 1,08168940000104-1-000081/2026
Dispensa,Bom Princípio do Piauí,PI,2026-08-17,30,False,ATESTO,"o ser entregues no Município de Bom Princípio do Piauí – PI, em local indicado na Ordem de Fornecimento, no prazo máximo de 10 dias úteis contado do recebimento da solicitação. 5. DO PAGAMENTO 5.1. O pagamento será realizado pelo Município em até 30 (trinta) dias, contados do recebimento definitivo ",Edital 20p,200 on attempt 1,41522194000172-1-000028/2026
Dispensa,Jundiá,RN,2026-08-14,30,False,ATESTO,secução dos objetivos que tenham justificado a contratação e eventuais condutas a serem adotadas para o aprimoramento das atividades da Administração. 7. DO CRITÉRIOS DE MEDIÇÃO E DE PAGAMENTO 7.1. O pagamento de cada fatura deverá ser realizada em um prazo não superior a 30 (trinta) dias contados a,Aviso de Contratação Direta 25p,200 on attempt 1,04214217000155-1-000078/2026
Dispensa,São Bento do Una,PE,2026-08-13,20,False,ENTREGA,"eto, os pagamentos serão realizados normalmente, até que se decida pela rescisão do contrato, caso o contratado não regularize sua situação junto ao órgão competente. 9.3. Prazo de pagamento 9.3.1. O pagamento será efetuado mensal no prazo de até 20 (vinte) dias úteis contados da finalização da liqu",Edital 30p,200 on attempt 1,12609678000155-1-000003/2026
Dispensa,Juazeirinho,PB,2026-08-12,,,,,Aviso de Contratação Direta text,200 on attempt 1,08996886000187-1-000087/2026
Dispensa,Turiaçu,MA,2026-08-12,,,,,Outros Documentos 4p,200 on attempt 1,63451363000163-1-000041/2026
Dispensa,Uiraúna,PB,2026-08-11,30,False,ATESTO," indicação objetiva dos requisitos não atendidos. 8.7.9. Concluída a habilitação, o resultado será registrado no processo e divulgado nos meios oficiais previstos neste Aviso. 9. DO PAGAMENTO: 9.1. O pagamento será realizado mensalmente, no prazo de até 30 (trinta) dias, contado da liquidação da des",Termo de Referência 74p,200 on attempt 1,08924078000104-1-000086/2026
Dispensa,Diorama,GO,2026-08-11,10,False,ATESTO,"prove, inequivocamente, a regularidade de situação 5.5.5 - Certidão de regularidade perante a Justiça do Trabalho por intermédio de Certidão negativa de débitos trabalhistas. 6 - DO PAGAMENTO 6.1 - O pagamento ocorrerá dentro de até 10 (Dez) dias, do mês subsequente após a efetiva entrega dos materi",Edital 17p,200 on attempt 1,14631480000101-1-000025/2026
Dispensa,Feira de Santana,BA,2026-08-10,,,,,Ato que autoriza a Contratação Direta 1p,200 on attempt 1,40637159000136-1-000130/2026
Dispensa,Torrinha,SP,2026-08-10,30,False,NOTA FISCAL,"ecido para entrega sujeitará a empresa fornecedora às penalidades previstas no instrumento de contratação e na legislação aplicável. 7 – CRITÉRIO/CONDIÇÕES DE PAGAMENTO 7.1 – A Prefeitura realizará o pagamento dos produtos efetivamente entregues e devidamente recebidos, no prazo de 30 (trinta) dias ",Outros Documentos 6p,200 on attempt 1,46364220000103-1-000070/2026
Dispensa,Picuí,PB,2026-08-10,,,,,Outros Documentos 5p,200 on attempt 1,08741399000173-1-000097/2026
Dispensa,Rio Largo,AL,2026-08-07,,,,,,200 on attempt 1,12200168000120-1-000165/2026
Dispensa,Juquitiba,SP,2026-08-07,30,False,NOTA FISCAL,"nto provisório ou definitivo não exclui a responsabilidade ético profissional pela perfeita execução do contrato, dentro dos limites estabelecidos pela lei ou pelo contrato. 15. DO PAGAMENTO 15.1. Os pagamentos decorrentes do fornecimento ora contr atados serão efetuados em até 30 (trinta) dias, med",Aviso de Contratação Direta 33p,200 on attempt 1,46523155000103-1-000224/2026
Dispensa,Pedro Laurentino,PI,2026-08-07,30,False,ATESTO,"mento equivalente (art. 95); (v) execução parcelada mediante Ordem de Fornecimento; (vi) fiscalização por servidor designado (art. 117); (vii) recebimento provisório e definitivo (art. 140); e (viii) pagamento em até 30 dias do atesto (art. 92, XVI). 10. JUSTIFICATIVA PARA O PARCELAMENTO (art. 18, §",Estudo Técnico Preliminar 11p,200 on attempt 1,01612600000173-1-000026/2026
Pregão,Caicó,RN,2026-09-21,,,,,Edital 47p,200 on attempt 1,08096570000139-1-000104/2026
Pregão,Santa Rita,PB,2026-09-21,30,False,LIQUIDACAO,". Havendo a efetiva execução do objeto, os pagamentos serão realizados normalmente, até que se decida pela rescisão do contrato, caso o contratado não regularize sua situação junto ao SICAF. Prazo de pagamento O pagamento será efetuado no prazo máximo de até 30 (trinta) dias úteis, contados da final",Edital 56p,200 on attempt 1,09159666000161-1-000173/2026
Pregão,Umbaúba,SE,2026-09-18,,,,,Edital 22p,200 on attempt 1,14569416000130-1-000009/2026
Pregão,Coivaras,PI,2026-09-18,,,,,Edital 82p,200 on attempt 1,41522335000157-1-000018/2026
Pregão,Trairi,CE,2026-09-17,,,,,Edital 16p,200 on attempt 1,07533946000162-1-000105/2026
Pregão,Águas de Lindóia,SP,2026-09-17,30,False,ATESTO,"tro de preços. 5. FORMA DE PAGAMENTO 5.1. O pagamento será realizado através de ordem bancária, para crédito em banco, agência e conta corrente indicados pelo contratado. 6. PRAZO DE PAGAMENTO 6.1. O pagamento será efetuado no prazo máximo de até 30 (trinta) dias, contados do recebimento da Nota Fis",Edital 46p,200 on attempt 1,46439683000189-1-000110/2026
Pregão,José de Freitas,PI,2026-09-17,10,False,NAO DITO,"do orçamento estimado, pela variação do IGP-M (índice Geral de Preços do Mercado), tomando-se por base a data da apresentação da propôs. 18.4 A periodicidade do reajuste é anual, aplicado somente aos pagamentos de valores referentes a eventos físicos realizados a partir do 10 (primeiro) dia imediata",Edital 30p,200 on attempt 1,06554786000175-1-000041/2026
Pregão,Japi,RN,2026-09-16,,,,,Outros Documentos 3p,200 on attempt 1,08159071000143-1-000041/2026
Pregão,Cascavel,PR,2026-09-16,,,,,Edital 105p,200 on attempt 1,76208867000107-1-000497/2026
